Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
0,WO2020107985A1,Imaging module and electronic apparatus,韦怡|陈嘉伟,Oppo广东移动通信有限公司,84,2020-06-04,,2018-11-26,,,adjustable lens|88,"polymer|1,piezoelectric actuator|32",voice coil motor|4,,=HYPERLINK("https://patents.google.com/patent/WO2020107985A1/en"),0,"CN109327580A,CN109167909B,CN109819152A,CN111988494B,CN110310327A,CN113163077A,CN114070966A,CN114112045A,CN113452888A","US20150310243A1,CN108064350A,CN108322632A,CN207926731U,CN207926732U,CN207926733U,CN109167909A,CN109270683A,CN109327580A"
1,CN213426288U,Tlens camera module and terminal,卢江|李廷飞|赵军|谢双燕|齐书|晏政波|陈国狮|古昌根,Chongqing TS Precision Technology Co Ltd,615,2021-06-11,2021-06-11,2020-12-10,Active,"tlens|45,Tlens module|36",adjustable lens|2,LDS|1,,camera module|14,=HYPERLINK("https://patents.google.com/patent/CN213426288U/en"),0,,
2,GB2596650A,Focus stabilization of imaging system with variable focus lens,Gurevich Vladimir,Zebra Technologies Corp,250,2021-07-28,,2020-06-25,Pending,T-lens|2,"focusing lens|1,focus lens|3,deformable lens|1,shift lens|1,liquid lens|2,variable focus lens|3,adaptive lens|2",,voice coil motor|1,"autofocus|8,auto focus|16,imaging device|1",=HYPERLINK("https://patents.google.com/patent/GB2596650A/en"),0,,"US20140166758A1,US20180137318A1,US20190356860A1"
3,CN104412155B,Imaging and sensing during auto-focusing process,J·阿拉卡吕,Nokia Technologies Oy,100,2015-03-11,2018-02-09,2012-06-27,Active,polight|1,,,,"autofocus|3,auto focus|3,imaging device|1",=HYPERLINK("https://patents.google.com/patent/CN104412155B/en"),0,CN105991911A,
4,CN109348104B,"Camera module, electronic equipment and shooting method",周耀敏,Vivo Mobile Communication Hangzhou Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|20,convex lens|5,polymer|1,liquid crystal|1,"auto focus|2,camera module|41,digital camera|2",=HYPERLINK("https://patents.google.com/patent/CN109348104B/en"),0,"CN110012134A,CN110661954A,CN111182193B,CN111405153A,CN112492165B","CN102436018A,JP2009294330A,CN105988180A"
5,CN109348104A,"Camera module, electronic equipment and image pickup method",周耀敏,Vivo Mobile Communication Hangzhou Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|19,convex lens|4,polymer|1,liquid crystal|1,"auto focus|1,camera module|34,digital camera|2",=HYPERLINK("https://patents.google.com/patent/CN109348104A/en"),0,"CN110012134A,CN110661954A,CN111182193A,CN111405153A,CN112492165A,CN112637452A,CN112637452B","US20020131782A1,WO2005078509A3,CN102436018A,JP2009294330A,CN102439489A,CN102213814A,US20150085363A1,CN203414678U,CN107108202A,CN105988180A,EP3296790A1,CN107450148A"
6,CN109309789A,The field angle control method and terminal device of light compensating lamp,李松杰|杨尚明,Vivo Mobile Communication Hangzhou Co Ltd,407,2019-02-05,,2018-10-30,Pending,T-lens|66,"adjustable lens|3,tunable lens|1","polymer|12,polymer film|8,t-lens module|61",liquid crystal|1,,=HYPERLINK("https://patents.google.com/patent/CN109309789A/en"),0,"CN112218415A,CN113141442A","WO2002101442A1,CN204439988U,CN108702434A,CN207831092U"
7,CN113113836A,Optical sensor and electronic device,刘海亮|许伟才,Guangdong Oppo Mobile Telecommunications Corp Ltd,768,2021-07-13,,2021-04-02,Pending,"tlens|1,t lens|1,TLens|1,T Lens|1,(T lens)|1,T-lens|1","refractive lens|6,diffractive lens|8,tunable lens|1","transparent elastic member|11,optical film layer|6",VCM |1,"autofocus|1,auto focus|1,time of flight|3,depth information|5,mobile phones|2,automobiles|1,medical treatment|1,scientific research|1,navigation|2,TOF|9,(TOF)|2,AR/VR|1,PDA|1",=HYPERLINK("https://patents.google.com/patent/CN113113836A/en"),0,CN113542534A,"CN108363267A,CN109188711A,CN110346940A,CN210835461U,CN110361870A,CN112379528A"
8,CN109167909B,Imaging module and electronic device,韦怡|陈嘉伟,Guangdong Oppo Mobile Telecommunications Corp Ltd,134,2019-01-08,2020-07-24,2018-11-26,Active,,"adjustable lens|69,tunable lens|12","polymer|1,piezoelectric actuator|31",voice coil motor|7,,=HYPERLINK("https://patents.google.com/patent/CN109167909B/en"),0,"CN109327580A,CN109167909B,CN109819152A,CN111988494B,CN110310327A,CN113163077A,CN114070966A,CN114112045A,CN113452888A","CN106657749A,CN207560174U,CN207926731U"
9,WO2020107996A1,Imaging module and electronic device,韦怡|陈嘉伟,Oppo广东移动通信有限公司,84,2020-06-04,,2018-11-26,,,adjustable lens|147,"polymer|1,piezoelectric actuator|57","voice coil motor|9,cavity|9",,=HYPERLINK("https://patents.google.com/patent/WO2020107996A1/en"),0,"CN109327580A,CN109167909B,CN112311977B,CN110809106A,GB2593682A,CN113422892A,CN113452888A","US7486454B2,US20180239063A1,CN108064350A,CN108322632A,CN207926731U,CN207926732U,CN207926733U,CN109167909A,CN109270683A,CN109327580A"
