Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
2,CN213426288U,Tlens camera module and terminal,卢江|李廷飞|赵军|谢双燕|齐书|晏政波|陈国狮|古昌根,Chongqing Ts Precision Technology Co Ltd,615,2021-06-11,2021-06-11,2020-12-10,Active,"tlens|45,Tlens module|36",adjustable lens|2,LDS|1,,camera module|14,"=HYPERLINK(""https://patents.google.com/patent/CN213426288U/en"")",0,,
5,GB2596650A,Focus stabilization of imaging system with variable focus lens,Gurevich Vladimir,Zebra Technologies Corp,250,2021-07-28,,2020-06-25,Pending,T-lens|2,"focusing lens|1,focus lens|3,deformable lens|1,shift lens|1,liquid lens|2,variable focus lens|3,adaptive lens|2",,voice coil motor|1,"autofocus|8,auto focus|16,imaging device|1","=HYPERLINK(""https://patents.google.com/patent/GB2596650A/en"")",0,,"US20140166758A1,US20180137318A1,US20190356860A1"
8,CN109348104B,"Camera module, electronic equipment and shooting method",周耀敏,Vivo Mobile Communication Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|20,convex lens|5,polymer|1,liquid crystal|1,"auto focus|2,camera module|41,digital camera|2","=HYPERLINK(""https://patents.google.com/patent/CN109348104B/en"")",0,"CN110012134A,CN110661954A,CN111182193B,CN111405153A,CN112492165B","CN102436018A,JP2009294330A,CN105988180A"
10,CN109309789A,The field angle control method and terminal device of light compensating lamp,李松杰|杨尚明,Vivo Mobile Communication Co Ltd,407,2019-02-05,,2018-10-30,Pending,T-lens|66,"adjustable lens|3,tunable lens|1","polymer|12,polymer film|8,t-lens module|61",liquid crystal|1,,"=HYPERLINK(""https://patents.google.com/patent/CN109309789A/en"")",0,"CN112218415A,CN113141442A","WO2002101442A1,CN204439988U,CN108702434A,CN207831092U"
12,CN113113836A,Optical sensor and electronic device,刘海亮|许伟才,Oppo,768,2021-07-13,,2021-04-02,Pending,"tlens|1,t lens|1,TLens|1,T Lens|1,(T lens)|1,T-lens|1","refractive lens|6,diffractive lens|8,tunable lens|1","transparent elastic member|11,optical film layer|6",VCM |1,"autofocus|1,auto focus|1,time of flight|3,depth information|5,mobile phones|2,automobiles|1,medical treatment|1,scientific research|1,navigation|2,TOF|9,(TOF)|2,AR/VR|1,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN113113836A/en"")",0,CN113542534A,"CN108363267A,CN109188711A,CN110346940A,CN210835461U,CN110361870A,CN112379528A"
17,CN213817938U,Camera assembly and electronic equipment,李天意,Shenzhen Realme Mobile Communication Co Ltd,113,2021-07-27,2021-07-27,2021-01-14,Active,tlens|1,convex lens|3,polymer|3,"voice coil motor|1,cavity|14","auto focus|1,camera module|76,telephoto|5,telephoto lens|4","=HYPERLINK(""https://patents.google.com/patent/CN213817938U/en"")",0,,
20,CN113014790A,"Defocus conversion coefficient calibration method, PDAF method and camera module",郑龙伟|牛亚军|曾义闵|李斯坤,Huawei Technologies Co Ltd,269,2021-06-22,,2019-12-19,Pending,tlens|2,"adjustable lens|4,focusing lens|1,focus lens|4,plastic lens|1,glass lens|2,liquid crystal lens|5,liquid lens|14,tunable lens|1,variable focus lens|1",,"fixed focus lens|3,voice coil motor|1,liquid crystal|5","autofocus|9,auto focus|14,camera module|139,video cameras|1,(OIS)|1,OIS|1,PDAs|1","=HYPERLINK(""https://patents.google.com/patent/CN113014790A/en"")",0,,"US5497209A,JP2008102537A,CN102089696A,CN103676082A,CN105391932A,CN106556960A"
21,WO2019217108A1,Variable attenuation of an illumination source,Joshua Owen Miller,Microsoft Technology Licensing Llc,368,2019-11-14,,2018-05-16,,"polight|1,TLens®|1,poLight|1","convex lens|1,plano-concave|1,liquid lens|1,tunable lc lens|1,tunable lens|102","polymer|3,polymer cushion|2,translucent glass support|1,piezo elements|5,spherically deform|1,thin glass membrane|1","liquid crystals|5,ring electrodes|2,electrical modulation|1,floating electrodes|6,edge conductors|1,electrowetting|2,chamber|6,oil|1,aqueous solution|2,lens chamber|1,flexible membrane|2,liquid crystal|3,LC|10","mobile phones|1,automobiles|1,HMD|31,PDA|1","=HYPERLINK(""https://patents.google.com/patent/WO2019217108A1/en"")",0,"CN107861247B,US10983349B2","WO2013138191A1,US20170307890A1"
27,US10222514B2,Autofocus lens system,H. Sprague Ackley|Alain Gillet,Hand Held Products Inc,422,2018-08-23,2019-03-05,2018-04-16,Active,"polight|1,poLight|1","adjustable lens|1,adjustable-surface lens|17,auto-focus lens|1,focusing-module lens|28,autofocus lens|38,mechanical autofocus lens|3","polymer|6,thin glass membrane|1,piezoelectric film|8",,"autofocus|60,auto focus|60,depth of field|2,imaging device|1","=HYPERLINK(""https://patents.google.com/patent/US10222514B2/en"")",0,"US11231528B2,US9779546B2,US10007858B2,US20140104413A1,CN103780847A,US8918250B2,US9930142B2,US10228452B2,US9104929B2,US9572901B2,US8870074B1,US9373018B2,US9665757B2,US9412242B2,US9224022B2,US9478113B2,US9823059B2,US10775165B2,US9779276B2,US10810715B2,US9443222B2,US10909490B2,US9752864B2,US9897434B2,US10438409B2,US10509619B2,US10176521B2,US9743731B2,US9761096B2,US10317474B2,US10275088B2,US9678536B2,US10296259B2,US9727769B2,US10049246B2,US10191514B2,US10635876B2,US9679178B2,US10552786B2,US9774940B2,US10621538B2,US11244264B2,US20160189270A1,US9843660B2,US10152622B2,US9230140B1,US9830488B2,US9898635B2,US9685049B2,US11257143B2,US10108832B2,US9879823B2,US9811650B2,CN204706037U,US9734639B2,US10049290B2,US10402038B2,US10061565B2,US10262660B2,US11081087B2,US9997935B2,US10120657B2,US9390596B1,CN204795622U,US9852102B2,US9693038B2,US20160314294A1,US9954871B2,US9978088B2,US9786101B2,USD771631S1,US9507974B1,US10354449B2,US9892876B2,US9949005B2,US20160377414A1,US9835486B2,EP3118576B1,US10094650B2,US10467513B2,US9911023B2,US10410629B2,US9781681B2,CN206006056U,US9490540B1,US9659198B2,US9652648B2,CN205091752U,US9646191B2,US10373143B2,US9767337B2,US10312483B2,US9844956B2,US9656487B2,US10146194B2,US9727083B2,US9876923B2,US9684809B2,US10249030B2,US10397388B2,US10129414B2,US10026377B2,US9680282B2,US10192194B2,US10225544B2,US9864891B2,US9697401B2,US10282526B2,US10064005B2,US9935946B2,CN106899713B,US9729744B2,US10325436B2,US9727840B2,US9805343B2,US10026187B2,US10859667B2,US9945777B2,US10235547B2,US10025314B2,CN205880874U,US9990784B2,US9674430B1,US11125885B2,US10394316B2,US10055625B2,US10185906B2,US9727841B1,US10183500B2,US10339352B2,US9940721B2,US10306051B2,US10163216B2,US9990524B2,US9955099B2,US9876957B2,US9864887B1,US10085101B2,US9662900B1,CN107622218A,CN107622217A,US10896403B2,US10714121B2,US9902175B1,US9919547B2,US11157869B2,US10640325B2,US9940497B2,US10372954B2,US10685665B2,US10384462B2,US10158834B2,US10286694B2,US10042593B2,US9805257B1,US10484847B2,US9946962B2,US9881194B1,US9701140B1,US10375473B2,US9931867B1,US9785814B1,US10181321B2,US9936278B1,US9892356B1,US10114997B2,US10146975B2,US10022993B2,US10395081B2,CN108616148A,US10909708B2,US10740855B2,US10163044B2,US10044880B2,US10304174B2,US10237421B2,CN108256367A,CN108259702B,US9827796B1,US10652403B2,US10468015B2,CN108304741A,US11042834B2,US10263443B2,US9802427B1,US9849691B1,US10350905B2,CN108363932A,US10158612B2,US10984374B2,US10252874B2,US9908351B1,JP2020510245A,US10737911B2,US10195880B2,US10105963B2,CN108537077A,US11047672B2,US10780721B2,US10798316B2,US10223626B2,US9937735B1,US10463140B2,US10810541B2,US10549561B2,CN108859447B,US10438098B2,US10523038B2,US10732226B2,US10592536B2,US9984366B1,US10035367B1,US10710386B2,US10977594B2,US10644944B2,US10778690B2,US10127423B1,US10216969B2,US10264165B2,US10867141B2,US10956033B2,US10733748B2,CN109308430A,US10255469B2,US10650631B2,US10099485B1,US10373032B2,CN109388981A,CN109390994A,CN109424871A,US10399359B2,US10372389B2,US10756900B2,US10621470B2,US10245861B1,US10728445B2,US10884059B2,US10654287B2,US10084556B1,US10399369B2,US10293624B2,US10679101B2,US10210364B1,US10427424B2,US10181896B1,US10369823B2,US10369804B2,US10399361B2,US10654697B2,US10232628B1,US10703112B2,US10756563B2,US10323929B1,US10773537B2,US10834283B2,US10795618B2,US10803264B2,US10546160B2,US10731963B2,US10897150B2,US10809949B2,US10584962B2,US10434800B1,CN109167909B,CN109327580A,US20220066126A1,US20220124253A1","US20130313324A1,US8602309B2,US20140063289A1,US8587697B2,US20130292477A1,US6832725B2,US20090134221A1,US8682077B1,US8702000B2,US20140299665A1,US8559767B2,US9047525B2,US9137009B1,US8794522B2,US20140231500A1,US7413127B2,US8528818B2,US8561895B2,US8967468B2,US8544737B2,US7159783B2,US8596542B2,US20140076974A1,US8622303B2,US20140103115A1,US8789758B2,US8985457B2,US20120168512A1,US8479992B2,US20130292475A1,US8844822B2,US20150014416A1,US8517271B2,US8317105B2,US8366005B2,US7128266B2,US8615487B2,US7296749B2,US20140108402A1,US8636224B2,US20140140585A1,US8720783B2,US9202458B2,US8868421B2,US20150039309A1,US8756059B2,US20140288933A1,US8723804B2,US8750445B2,US8599957B2,US8556177B2,US20150063215A1,US8881987B2,US20070063048A1,US20150029002A1,US8851383B2,US9491729B2,US9084032B2,US9275388B2,US8842849B2,US9159059B2,US8727223B2,US8944332B2,US20150136851A1,US20110149409A1,US8045280B2,US8505822B2,US7813047B2,US8687282B2,US20120248195A1,US20080144185A1,US20080144186A1,US20140168787A1,US20140197304A1,US9047359B2,US8915444B2,US8971346B2,US20140125999A1,US8630491B2,US8638806B2,US20140133379A1,US20110157675A1,US8794526B2,US20140158770A1,US20140217166A1,US8635309B2,US7726575B2,US20150127791A1,US8556174B2,US8925818B2,US20090072037A1,US8548420B2,US8371507B2,US9049640B2,US8807431B2,US8584945B2,US8611309B2,US20140098792A1,US9361882B2,US9171543B2,US8794520B2,US8628015B2,US8783573B2,US8646694B2,US8908995B2,US20150149946A1,US20100177080A1,US8457013B2,US20100177707A1,US9030964B2,US20100177749A1,US20100177076A1,US20110304927A1,US8643717B2,US9183425B2,US8424768B2,US20100276491A1,US8305691B2,US20100276492A1,US20100276493A1,US9519814B2,US8583924B2,US8914788B2,US9418269B2,US8596539B2,US20140104696A1,US8668149B2,US8294969B2,US8390909B2,US20140247315A1,US8723904B2,US8587595B2,US9047098B2,US8868802B2,US8596543B2,US8996384B2,US20150199957A1,US9497092B2,US20110169999A1,US8698949B2,US8866963B2,US20140204268A1,US8579200B2,US8588869B2,US20140066136A1,US8640958B2,US8781520B2,US9058526B2,US20110202554A1,US9298964B2,US9104934B2,US8600167B2,US9047531B2,US8366002B2,US9189669B2,US8659397B2,US9489782B2,US8910870B2,US8717494B2,US8757495B2,US8565107B2,US8408469B2,US9036054B2,US8760563B2,US8322622B2,US8944327B2,US8490877B2,US20120111946A1,US8600158B2,US20140078342A1,US8571307B2,US8849019B2,US8950678B2,US9010641B2,US8550357B2,US20140025584A1,US20130270346A1,US8408468B2,US8448863B2,US9365381B2,US8939374B2,US8996194B2,US8763909B2,US8692927B2,US8798367B2,US20130306731A1,US9418270B2,US9038915B2,US8942480B2,US8599271B2,US20120193423A1,US8561903B2,US20140034734A1,US9033240B2,US8381979B2,US8879639B2,US8678286B2,US8789757B2,US8408464B2,US8985456B2,US8636200B2,US20120203647A1,US8550354B2,US8531790B2,US20120223141A1,US8459557B2,US8988590B2,US8469272B2,US8824692B2,US20140369511A1,US8914290B2,US20150088522A1,US9219836B2,US8868519B2,US20150032709A1,US9079423B2,US9208366B2,US20140217180A1,US8824696B2,US20140363015A1,US8561905B2,US8998091B2,US8376233B2,US8628016B2,US8910875B2,US8657200B2,US8640960B2,US9158340B2,US8636215B2,US9269036B2,US8985459B2,US9481186B2,US20130043312A1,US8779898B2,US8636212B2,US9111166B2,US8822848B2,US9111159B2,US9135483B2,US8590789B2,US20140070005A1,US8844823B2,US8976368B2,US8678285B2,US20150001301A1,US8807432B2,US8556176B2,US8794525B2,US9057641B2,US20130075168A1,US8474712B2,US8646692B2,US9317037B2,US9274812B2,US9047420B2,US8918564B2,US8621123B2,US9053055B2,US8868803B2,US20140108682A1,US8608071B2,US9411386B2,US9015513B2,US20140125853A1,US9066032B2,US8629926B2,US9262660B2,US9224024B2,US20140166757A1,US8903172B2,US8820630B2,US9248640B2,US8881983B2,US8628013B2,US8991704B2,US9093141B2,US8695880B2,US20130175341A1,US8523076B2,US20130175343A1,US20150028104A1,US20150128116A1,US20150051992A1,US8880426B2,US8988578B2,US8915439B2,US8740085B2,US20140374483A1,US8740082B2,US9378403B2,US8550335B2,US9087250B2,US8777108B2,US9064165B2,US20130257744A1,US9383848B2,US20130257759A1,US8976030B2,US20150062366A1,WO2013163789A1,US8608053B2,US20130293539A1,US20130293540A1,US9064167B2,US8752766B2,US9007368B2,US9098763B2,US20130307964A1,US9558386B2,US20130306728A1,US20130308625A1,US9064254B2,US9038911B2,US8789759B2,US9016576B2,US20150327012A1,US9092682B2,US8978983B2,US8746563B2,US9158000B2,US20130332524A1,US9270782B2,US20150220753A1,US20150144698A1,US9053380B2,US8978981B2,US9245492B2,US20140001267A1,US20140002828A1,US8944313B2,US20150049347A1,US8854633B2,US9092683B2,US9262662B2,US20150186703A1,US20140039693A1,US9478983B2,US9360304B2,US20140049120A1,US20150009338A1,US20140049683A1,US20140049635A1,US20140061306A1,US20140067692A1,US9022288B2,US20140074746A1,US20140263645A1,US20140071840A1,US20150096872A1,US8916789B2,US9033242B2,US20140166755A1,US9342723B2,US8777109B2,US20140100813A1,US9002641B2,US20140100774A1,US9286496B2,US20140108010A1,US20140106725A1,US20140104413A1,US9313377B2,US20140104414A1,US20140104416A1,US9148474B2,US9235553B2,US20140114530A1,US20140110485A1,USD730902S1,US20140129378A1,US9147096B2,US20140131444A1,US9465967B2,US20140136208A1,US20140131443A1,US9208367B2,US20140152882A1,US20140159869A1,US9061527B2,US9064168B2,US20140175165A1,US20140194750A1,US9107484B2,USD716285S1,US20140191913A1,USD702237S1,USD734751S1,US20150310389A1,US20140197239A1,US9092681B2,US20140214631A1,US9304376B2,US8978984B2,US9076459B2,US9080856B2,US9384374B2,US20140278387A1,US20140282210A1,US20140270229A1,US20140263493A1,US20140270196A1,US20140297058A1,US9070032B2,US9195844B2,US20140351317A1,US8918250B2,US9037344B2,US20150100196A1,US9141839B2,US20140362184A1,USD762604S1,US20140374485A1,US9104929B2,US8985461B2,US9239950B2,US9250652B2,USD747321S1,USD766244S1,USD723560S1,USD730357S1,US20150021397A1,US9297900B2,US20150040378A1,US20150053769A1,US9464885B2,US9082023B2,US9572901B2,US8870074B1,US9251411B2,USD785636S1,US9165174B2,US20150115035A1,US20150133047A1,US20150134470A1,US20150142492A1,US20150144692A1,US9530038B2,USD734339S1,US20150161429A1,US9053378B1,US9481809B2,US9373018B2,US20150210199A1,US9158953B2,US20150254485A1,US20160171666A1,US9224027B2,US9412242B2,US9258033B2,US9224022B2,US20170160441A1,US20150310243A1,US20160131894A1,US9581809B2,US9301427B2,US9277668B2,US9280693B2,USD757009S1,USD730901S1,US9478113B2,US20160014251A1,US9443123B2,US9310609B2,US9423318B2,US20160042241A1,US20160040982A1,US20160057230A1,US20160062473A1,US9342724B2,US20160092805A1,US20160104019A1,US20160104274A1,US20160101936A1,US20160102975A1,US9443222B2,US20160117627A1,USD760719S1,US20160109220A1,US20160109219A1,US20160112631A1,US20160112643A1,US20160109224A1,US20160125873A1,US20160124516A1,US9646189B2,US9262633B1,US20160125342A1,US20160125217A1,US20160133253A1,US20160171720A1,USD790546S1,US20160171775A1,US20160171597A1,US20160171777A1,US20160178479A1,US20160180713A1,US20160180663A1,US20160178707A1,US20160174674A1,US20160179132A1,US20160178685A1,US20160179368A1,US9454689B2,US20160180594A1,US20160179378A1,US20160180678A1,US20160180133A1,US20160180130A1,US20160180136A1,US20160179143A1,US9375945B1,US20160189092A1,US20160188944A1,US9652653B2,US20160192051A1,US20160189088A1,US20160189447A1,US20160191684A1,US20160189076A1,US20160185136A1,US20160189284A1,US20160189288A1,US9230140B1,US20160189087A1,US20160188941A1,US20160188943A1,US20160188939A1,US20160188942A1,US20160189489A1,US20160189443A1,US20160189366A1,US20160186926A1,US20160188940A1,US20160188861A1,US20160185291A1,US20160202951A1,US20160204623A1,US20160204636A1,US20160203021A1,US20160204638A1,US20160202958A1,US20160202959A1,US20160203797A1,US20160203820A1,US20160203429A1,US20160227912A1,USD785617S1,US20160232891A1,US9390596B1,US9250712B1,US20160292477A1,US20160294779A1,USD777166S1,US20160306769A1,US20160316190A1,US9521331B2,US20160314294A1,US20160314276A1,USD783601S1,US20160323310A1,US20160327614A1,US20160327930A1,US20160325677A1,US20160330218A1,US20160328762A1,US20160343176A1,US20160343163A1,USD771631S1,US9507974B1,US20160364914A1,US20160370220A1,US20160372282A1,US20160373847A1,USD790505S1,US20160377417A1,US20160377414A1,US20170010780A1,US20170010141A1,US20170010328A1,US20170016714A1,US20170018094A1,US9488986B1,US20170046603A1,US20170047864A1,US20170053147A1,US20170053647A1,US20170053146A1,US20170064634A1,US20170055606A1,US20170060316A1,US20170061961A1,US9490540B1,US9659198B2,US9652648B2,US9606581B1,US20170083730A1,US9646191B2,US20170091741A1,US20170091706A1,US20170091904A1,US20170094238A1,US20170092908A1,US20170091502A1,US20170098947A1,US20170100949A1,US9656487B2,US20170108838A1,US20170108895A1,US20170118355A1,US20170123598A1,US20170124396A1,US20170124369A1,US20170124687A1,US20170126873A1,US20170126904A1,US20170140731A1,US20170139012A1,US9680282B2,US20170140329A1,US20170150124A1,US9697401B2,US20170147847A1,US20170171803A1,US20170169198A1,US20170171703A1,US20170171035A1,US20170180359A1,US20170181299A1,US20170180577A1,US20170193727A1,US20170193432A1,US20170193461A1,US20170190192A1,US20170200108A1,US20170200275A1,US9701140B1"
29,US2016131894A1,Autofocus lens system,H. Sprague Ackley|Alain Gillet,Hand Held Products Inc,422,2016-05-12,2017-02-28,2015-12-28,Active,"polight|1,poLight|1","adjustable lens|1,adjustable-surface lens|17,auto-focus lens|1,focusing-module lens|28,autofocus lens|36,mechanical autofocus lens|3","polymer|6,thin glass membrane|1,piezoelectric film|8",,"autofocus|58,auto focus|58,depth of field|2,imaging device|1","=HYPERLINK(""https://patents.google.com/patent/US2016131894A1/en"")",0,"US10073197B2,US11231528B2,US9779546B2,US10007858B2,US20140104413A1,CN103780847A,US8918250B2,US9930142B2,US10228452B2,US9104929B2,US9572901B2,US8870074B1,US9373018B2,US9665757B2,US9412242B2,US9478113B2,US9823059B2,US10775165B2,US9779276B2,US10810715B2,US9443222B2,US10909490B2,US9752864B2,US9897434B2,US10438409B2,US10509619B2,US10176521B2,US9743731B2,US9761096B2,US10317474B2,US10275088B2,US9678536B2,US10296259B2,US9727769B2,US10049246B2,US10191514B2,US10635876B2,US9679178B2,US10552786B2,US9774940B2,US10621538B2,US11244264B2,US20160189270A1,US9843660B2,US10152622B2,US9230140B1,US9830488B2,US9898635B2,US9685049B2,US11257143B2,US10108832B2,US9879823B2,US9811650B2,CN204706037U,US9734639B2,US10049290B2,US10402038B2,US10061565B2,US10262660B2,US11081087B2,US9997935B2,US10120657B2,US9390596B1,CN204795622U,US9852102B2,US9693038B2,US20160314294A1,US9954871B2,US9978088B2,US9786101B2,USD771631S1,US9507974B1,US10354449B2,US9892876B2,US9949005B2,US20160377414A1,US9835486B2,EP3118576B1,US10094650B2,US10467513B2,US9911023B2,US10410629B2,US9781681B2,CN206006056U,US9490540B1,US9659198B2,US9652648B2,CN205091752U,US9646191B2,US10373143B2,US9767337B2,US10312483B2,US9844956B2,US9656487B2,US10146194B2,US9727083B2,US9876923B2,US9684809B2,US10249030B2,US10397388B2,US10129414B2,US10026377B2,US9680282B2,US10192194B2,US10225544B2,US9864891B2,US9697401B2,US10282526B2,US10064005B2,US9935946B2,CN106899713B,US9729744B2,US10325436B2,US9727840B2,US9805343B2,US10026187B2,US10859667B2,US9945777B2,US10235547B2,US10025314B2,CN205880874U,US9990784B2,US9674430B1,US11125885B2,US10394316B2,US10055625B2,US10185906B2,US9727841B1,US10183500B2,US10339352B2,US9940721B2,US10306051B2,US10163216B2,US9990524B2,US9955099B2,US9876957B2,US9864887B1,US10085101B2,US9662900B1,CN107622218A,CN107622217A,US10896403B2,US10714121B2,US9902175B1,US9919547B2,US11157869B2,US10640325B2,US9940497B2,US10372954B2,US10685665B2,US10384462B2,US10158834B2,US10286694B2,US10042593B2,US9805257B1,US10484847B2,US9946962B2,US9881194B1,US9701140B1,US10375473B2,US9931867B1,US9785814B1,US10181321B2,US9936278B1,US9892356B1,US10114997B2,US10146975B2,US10022993B2,US10395081B2,CN108616148A,US10909708B2,US10740855B2,US10163044B2,US10044880B2,US10304174B2,US10237421B2,CN108256367A,CN108259702B,US9827796B1,US10652403B2,US10468015B2,CN108304741A,US11042834B2,US10263443B2,US9802427B1,US9849691B1,US10350905B2,CN108363932A,US10158612B2,US10984374B2,US10252874B2,US9908351B1,JP2020510245A,US10737911B2,US10195880B2,US10105963B2,CN108537077A,US11047672B2,US10780721B2,US10798316B2,US10223626B2,US9937735B1,US10463140B2,US10810541B2,US10549561B2,CN108859447B,US10438098B2,US10523038B2,US10732226B2,US10592536B2,US9984366B1,US10035367B1,US10710386B2,US10977594B2,US10644944B2,US10778690B2,US10127423B1,US10216969B2,US10264165B2,US10867141B2,US10956033B2,US10733748B2,CN109308430A,US10255469B2,US10650631B2,US10099485B1,US10373032B2,CN109388981A,CN109390994A,CN109424871A,US10399359B2,US10372389B2,US10756900B2,US10621470B2,US10245861B1,US10728445B2,US10884059B2,US10654287B2,US10084556B1,US10399369B2,US10293624B2,US10679101B2,US10210364B1,US10427424B2,US10181896B1,US10369823B2,US10369804B2,US10399361B2,US10654697B2,US10232628B1,US10703112B2,US10756563B2,US10323929B1,US10773537B2,US10834283B2,US10795618B2,US10803264B2,US10546160B2,US10731963B2,US10897150B2,US10809949B2,US10584962B2,US10434800B1,CN109167909B,CN109327580A,US20220066126A1,US20220124253A1",
