Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
0,CN213426288U,Tlens camera module and terminal,卢江|李廷飞|赵军|谢双燕|齐书|晏政波|陈国狮|古昌根,Chongqing TS Precision Technology Co Ltd,615,2021-06-11,2021-06-11,2020-12-10,Active,"tlens|45,Tlens module|36",adjustable lens|2,LDS|1,,camera module|14,=HYPERLINK("https://patents.google.com/patent/CN213426288U/en"),0,,
1,GB2596650A,Focus stabilization of imaging system with variable focus lens,Gurevich Vladimir,Zebra Technologies Corp,250,2021-07-28,,2020-06-25,Pending,T-lens|2,"focusing lens|1,focus lens|3,deformable lens|1,shift lens|1,liquid lens|2,variable focus lens|3,adaptive lens|2",,voice coil motor|1,"autofocus|8,auto focus|16,imaging device|1",=HYPERLINK("https://patents.google.com/patent/GB2596650A/en"),0,,"US20140166758A1,US20180137318A1,US20190356860A1"
2,CN104412155B,Imaging and sensing during auto-focusing process,J·阿拉卡吕,Nokia Technologies Oy,100,2015-03-11,2018-02-09,2012-06-27,Active,polight|1,,,,"autofocus|3,auto focus|3,imaging device|1",=HYPERLINK("https://patents.google.com/patent/CN104412155B/en"),0,CN105991911A,
3,CN109348104B,"Camera module, electronic equipment and shooting method",周耀敏,Vivo Mobile Communication Hangzhou Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|20,convex lens|5,polymer|1,liquid crystal|1,"auto focus|2,camera module|41,digital camera|2",=HYPERLINK("https://patents.google.com/patent/CN109348104B/en"),0,"CN110012134A,CN110661954A,CN111182193B,CN111405153A,CN112492165B","CN102436018A,JP2009294330A,CN105988180A"
4,CN109348104A,"Camera module, electronic equipment and image pickup method",周耀敏,Vivo Mobile Communication Hangzhou Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|19,convex lens|4,polymer|1,liquid crystal|1,"auto focus|1,camera module|34,digital camera|2",=HYPERLINK("https://patents.google.com/patent/CN109348104A/en"),0,"CN110012134A,CN110661954A,CN111182193A,CN111405153A,CN112492165A,CN112637452A,CN112637452B","US20020131782A1,WO2005078509A3,CN102436018A,JP2009294330A,CN102439489A,CN102213814A,US20150085363A1,CN203414678U,CN107108202A,CN105988180A,EP3296790A1,CN107450148A"
5,CN109309789A,The field angle control method and terminal device of light compensating lamp,李松杰|杨尚明,Vivo Mobile Communication Hangzhou Co Ltd,407,2019-02-05,,2018-10-30,Pending,T-lens|66,"adjustable lens|3,tunable lens|1","polymer|12,polymer film|8,t-lens module|61",liquid crystal|1,,=HYPERLINK("https://patents.google.com/patent/CN109309789A/en"),0,"CN112218415A,CN113141442A","WO2002101442A1,CN204439988U,CN108702434A,CN207831092U"
6,CN113113836A,Optical sensor and electronic device,刘海亮|许伟才,Guangdong Oppo Mobile Telecommunications Corp Ltd,768,2021-07-13,,2021-04-02,Pending,"tlens|1,t lens|1,TLens|1,T Lens|1,(T lens)|1,T-lens|1","refractive lens|6,diffractive lens|8,tunable lens|1","transparent elastic member|11,optical film layer|6",VCM |1,"autofocus|1,auto focus|1,time of flight|3,depth information|5,mobile phones|2,automobiles|1,medical treatment|1,scientific research|1,navigation|2,TOF|9,(TOF)|2,AR/VR|1,PDA|1",=HYPERLINK("https://patents.google.com/patent/CN113113836A/en"),0,CN113542534A,"CN108363267A,CN109188711A,CN110346940A,CN210835461U,CN110361870A,CN112379528A"
7,CN109167909B,Imaging module and electronic device,韦怡|陈嘉伟,Guangdong Oppo Mobile Telecommunications Corp Ltd,134,2019-01-08,2020-07-24,2018-11-26,Active,,"adjustable lens|69,tunable lens|12","polymer|1,piezoelectric actuator|31",voice coil motor|7,,=HYPERLINK("https://patents.google.com/patent/CN109167909B/en"),0,"CN109327580A,CN109167909B,CN109819152A,CN111988494B,CN110310327A,CN113163077A,CN114070966A,CN114112045A,CN113452888A","CN106657749A,CN207560174U,CN207926731U"
8,CN213817938U,Camera assembly and electronic equipment,李天意,Shenzhen Realme Mobile Communication Co Ltd,113,2021-07-27,2021-07-27,2021-01-14,Active,tlens|1,convex lens|3,polymer|3,"voice coil motor|1,cavity|14","auto focus|1,camera module|76,telephoto|5,telephoto lens|4",=HYPERLINK("https://patents.google.com/patent/CN213817938U/en"),0,,
9,CN104580877A,Image acquisition device and method,徐晶|赵聪,Huawei Technologies Co Ltd,193,2015-04-29,2018-03-06,2013-10-29,Active,tlens|2,"micro lens|4,liquid crystal lens|2,liquid lens|4","polymer|1,piezoelectric element|2","oil|2,aqueous solution|3,liquid crystal|2",light field camera|3,=HYPERLINK("https://patents.google.com/patent/CN104580877A/en"),0,"CN106254750A,CN106303166A,EP3157244A1,US10015415B2,WO2019218323A1,CN110764249A,US9667846B2,CN106610521B,EP3185540A1,US10712572B1","CN101382643A,CN101554042A,US8189089B1,CN102739945A"
10,WO2020164406A1,"Zoom assembly, lens module and electronic device",李明|龚健敏|耿东玉|文彪,华为技术有限公司,95,2020-08-20,,2019-02-11,,,"focusing lens|88,focus lens|42,liquid lens|4",,"voice coil motor|3,cavity|4,VCM |4","camera module|1,telephoto|6,digital zoom|2,mobile phones|1",=HYPERLINK("https://patents.google.com/patent/WO2020164406A1/en"),0,"CN112882187A,CN113286019A,WO2022042209A1,CN112887563A","CN1648710A,CN1769942A,CN1940630A,CN102549472A,US20160363745A1,CN206115002U,JP2018120149A,CN207127391U"
11,CN113014790A,"Defocus conversion coefficient calibration method, PDAF method and camera module",郑龙伟|牛亚军|曾义闵|李斯坤,Huawei Technologies Co Ltd,269,2021-06-22,,2019-12-19,Pending,tlens|2,"adjustable lens|4,focusing lens|1,focus lens|4,plastic lens|1,glass lens|2,liquid crystal lens|5,liquid lens|14,tunable lens|1,variable focus lens|1",,"fixed focus lens|3,voice coil motor|1,liquid crystal|5","autofocus|9,auto focus|14,camera module|139,video cameras|1,(OIS)|1,OIS|1,PDAs|1",=HYPERLINK("https://patents.google.com/patent/CN113014790A/en"),0,,"US5497209A,JP2008102537A,CN102089696A,CN103676082A,CN105391932A,CN106556960A"
12,WO2019217108A1,Variable attenuation of an illumination source,Joshua Owen Miller,"Microsoft Technology Licensing, Llc",368,2019-11-14,,2018-05-16,,"polight|1,TLens®|1,poLight|1","convex lens|1,plano-concave|1,liquid lens|1,tunable lc lens|1,tunable lens|102","polymer|3,polymer cushion|2,translucent glass support|1,piezo elements|5,spherically deform|1,thin glass membrane|1","liquid crystals|5,ring electrodes|2,electrical modulation|1,floating electrodes|6,edge conductors|1,electrowetting|2,chamber|6,oil|1,aqueous solution|2,lens chamber|1,flexible membrane|2,liquid crystal|3,LC|10","mobile phones|1,automobiles|1,HMD|31,PDA|1",=HYPERLINK("https://patents.google.com/patent/WO2019217108A1/en"),0,"CN107861247B,US10983349B2","WO2013138191A1,US20170307890A1"
