Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
56,CN113933963A,"Optical zoom system, camera module and electronic equipment",张文燕|李明,Jiangxi Jingchao Optical Co Ltd,127,2022-01-14,,2021-10-11,Pending,,"plastic lens|1,glass lens|1,tunable lens|1","polymer|1,effective focal length|35,piezoelectric film|49",voice coil motor|3,"autofocus|2,auto focus|2,camera module|19,depth of field|5,telephoto|11,miniaturized design|2,depth information|2,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN113933963A/en"")",0,,
57,CN113933964A,"Optical lens, camera module and electronic equipment",张文燕|邹金华|李明,Jiangxi Jingchao Optical Co Ltd,447,2022-01-14,,2021-10-13,Pending,T-lens|4,"adjustable lens|1,aspheric surface lens|1,aspheric lens|9","effective focal length|27,t-lens module|1,focusing layer|152,piezoelectric actuator|3,EFL|49",,"auto focus|1,camera module|24,depth of field|5,miniaturized design|3,depth information|1","=HYPERLINK(""https://patents.google.com/patent/CN113933964A/en"")",0,,
58,WO2022028248A1,Camera module and terminal device,戎琦|袁栋立|陈钧|尹跃广|王宇翔|沈倩倩,Sunny Optical,633,2022-02-10,,2020-08-04,,tlens|15,"adjustable lens|94,adjustment lens|1,liquid crystal lens|3,liquid lens|4,tlens lens|12","polymer|2,piezoelectric actuators|1,piezoelectric film|10,squeezed|5,lens body|14","closed capsule|1,voice coil motor|3,liquid crystal|4","camera module|78,selfies|1","=HYPERLINK(""https://patents.google.com/patent/WO2022028248A1/en"")",0,,"US20100176319A1,US20120092543A1,CN204065445U,CN109167909A,CN109451225A,CN210442561U,CN111447350A"
59,CN215833686U,"Multifold periscopic zoom lens, module and mobile terminal",齐书|杨双|王军成|邓小光|卢江|晏政波|苏黎东|陈国狮,Chongqing Ts Precision Technology Co Ltd,605,2022-02-15,2022-02-15,2021-09-30,Active,"tlens|18,Tlens module|18","aspherical lens|14,aspheric lens|21",piezoelectric film|1,,"camera module|1,telephoto|14,mobile phones|1,periscopic zoom lens|8,telephoto lens|12","=HYPERLINK(""https://patents.google.com/patent/CN215833686U/en"")",0,,
65,CN114527526A,"Split type lens, camera module and electronic device",戎琦|陈飞帆|周凯伦|蒋伟杰,Sunny Optical,222,2022-05-24,,2020-11-09,Pending,,"adjustable lens|2,adjustable-focus lens|62,focusing lens|13,focus lens|13,liquid lens|18,polymer lens|2,variable focus lens|2","polymer|2,piezoelectric element|5,squeezed|3","chamber|2,cavity|5,SMA|2","camera module|16,(OIS)|1,OIS|4","=HYPERLINK(""https://patents.google.com/patent/CN114527526A/en"")",0,,
66,WO2022122021A1,Camera module and method for fabrication thereof,袁栋立|刘佳|魏罕钢|吴湖|卞强龙|戚杨迪,Sunny Optical,322,2022-06-16,,2020-12-16,,,"adjustable lens|3,focusing lens|192,focus lens|11,deformable lens|43,single lens|2","polymer|20,piezoelectric film|18,squeezed|3","VCM |9,SMA|28","camera module|242,telephoto|1","=HYPERLINK(""https://patents.google.com/patent/WO2022122021A1/en"")",0,,"US20150310243A1,CN106657749A,CN109143552A,CN109960090A,CN108322632A,CN208969313U,CN109348104A"
67,CN214846036U,"Lens module, protective shell and electronic equipment",黄婉千|李朗|武广文,Oneplus Technology Shenzhen Co Ltd,127,2021-11-23,2021-11-23,2021-04-20,Active,,"deformable lens|1,convex lens|5,variable lens|78","polymer|3,piezoelectric film|24",,"mobile phones|1,navigation|1,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN214846036U/en"")",0,,
68,CN114640731A,Camera module and preparation method thereof,刘佳|袁栋立|魏罕钢|吴湖|卞强龙|戚杨迪,Sunny Optical,256,2022-06-17,,2020-12-16,Pending,,"adjustable lens|2,focusing lens|51,focus lens|37,deformable lens|7,tunable lens|1","polymer|9,piezoelectric film|9","voice coil motor|2,VCM |5,SMA|14","camera module|110,telephoto|1","=HYPERLINK(""https://patents.google.com/patent/CN114640731A/en"")",0,,
69,CN114629975A,Camera module and preparation method thereof,袁栋立|刘佳|魏罕钢|吴湖|卞强龙|戚杨迪,Sunny Optical,245,2022-06-14,,2020-12-11,Pending,,"focusing lens|75,focus lens|47,deformable lens|35,single lens|2","polymer|11,piezoelectric film|9","VCM |5,SMA|14","camera module|115,telephoto|1","=HYPERLINK(""https://patents.google.com/patent/CN114629975A/en"")",0,,
76,WO2022170962A1,"Lens assembly, optical lens, camera module and continuous zooming method",杜佳玮|刘冰玉|王启|袁栋立|王超|许源霄|黄桢,Sunny Optical,153,2022-08-18,,2021-02-10,,,"plastic lens|1,glass lens|1,liquid lens|1","polymer|4,effective focal length|3,optical film layer|3,squeezed|12,EFL|2",voice coil motor|2,"camera module|100,telephoto|6,periscope |57","=HYPERLINK(""https://patents.google.com/patent/WO2022170962A1/en"")",0,,"DE102013103059A1,CN111065853A,CN109426048A,CN110456591A,CN110955041A,CN111025627A"
