Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
57,CN113933964A,"Optical lens, camera module and electronic equipment",张文燕|邹金华|李明,Jiangxi Jingchao Optical Co Ltd,447,2022-01-14,,2021-10-13,Pending,T-lens|4,"adjustable lens|1,aspheric surface lens|1,aspheric lens|9","effective focal length|27,t-lens module|1,focusing layer|152,piezoelectric actuator|3,EFL|49",,"auto focus|1,camera module|24,depth of field|5,miniaturized design|3,depth information|1","=HYPERLINK(""https://patents.google.com/patent/CN113933964A/en"")",0,,
58,WO2022028248A1,Camera module and terminal device,戎琦|袁栋立|陈钧|尹跃广|王宇翔|沈倩倩,Sunny Optical,633,2022-02-10,,2020-08-04,,tlens|15,"adjustable lens|94,adjustment lens|1,liquid crystal lens|3,liquid lens|4,tlens lens|12","polymer|2,piezoelectric actuators|1,piezoelectric film|10,squeezed|5,lens body|14","closed capsule|1,voice coil motor|3,liquid crystal|4","camera module|78,selfies|1","=HYPERLINK(""https://patents.google.com/patent/WO2022028248A1/en"")",0,,"US20100176319A1,US20120092543A1,CN204065445U,CN109167909A,CN109451225A,CN210442561U,CN111447350A"
59,CN215833686U,"Multifold periscopic zoom lens, module and mobile terminal",齐书|杨双|王军成|邓小光|卢江|晏政波|苏黎东|陈国狮,Chongqing Ts Precision Technology Co Ltd,605,2022-02-15,2022-02-15,2021-09-30,Active,"tlens|18,Tlens module|18","aspherical lens|14,aspheric lens|21",piezoelectric film|1,,"camera module|1,telephoto|14,mobile phones|1,periscopic zoom lens|8,telephoto lens|12","=HYPERLINK(""https://patents.google.com/patent/CN215833686U/en"")",0,,
80,CN114647133A,"Lens, camera module comprising same and assembling method",周凯伦|袁栋立|陈钧|魏罕钢|马小猛|鲁可丹,Sunny Optical,377,2022-06-21,,2020-12-17,Pending,T-lens|8,"convex lens|1,focal lens|1,glass lens|3,liquid lens|1","polymer|2,t-lens module|1,piezoelectric film|1,laser direct structuring|2,LDS|29","voice coil motor|1,cavity|15","camera module|37,medical treatment|1","=HYPERLINK(""https://patents.google.com/patent/CN114647133A/en"")",0,,
97,CN217655358U,Automatic zoom lens assembly and electronic equipment,林肖怡|陈天谋|袁嘉华,Guangdong Xuye Optoelectronics Technology Co Ltd,603,2022-10-25,2022-10-25,,Active,"tlens|20,Tlens module|4",focusing lens|1,,,,"=HYPERLINK(""https://patents.google.com/patent/CN217655358U/en"")",0,,
108,CN115877539A,Camera module and electronic equipment,陈凯|黄桢|袁栋立|姜贺|许晨祥,Sunny Optical,608,2023-03-31,,2021-09-29,Pending,"T-LENS|2,T-lens|12",liquid lens|107,"polymer|9,piezoelectric element|1,laser direct structuring|1,piezoelectric actuator|1,LDS|7","flexible membrane|1,cavity|3","auto focus|3,camera module|36,(OIS)|2,OIS|10","=HYPERLINK(""https://patents.google.com/patent/CN115877539A/en"")",0,,
109,US2023128303A1,Compact Robotic Endoscope,Xiaolong Ouyang,Micronvision Corp,506,2023-04-27,,2023-02-06,Pending,"tlens|1,TLens®|2,TLens|1,T Lens|1","focusing lens|1,liquid lens|1",,"voice coil motor|2,VCM |4","autofocus|6,auto focus|6,camera module|1,telescope|1,endoscopy|2","=HYPERLINK(""https://patents.google.com/patent/US2023128303A1/en"")",0,,
111,CN116184628A,Optical system and virtual reality device,薛同历|巩虎伟|朱能胜|张梓轩,Huaqin Technology Co Ltd,241,2023-05-30,,2022-12-30,Pending,"t lens|1,(T lens)|1","adjustable lens|15,aspheric lens|2",,,"camera module|1,VR|2","=HYPERLINK(""https://patents.google.com/patent/CN116184628A/en"")",0,,
118,CN109413307A,A kind of camera module and terminal,李显贤,Nubia Technology Co Ltd,548,2019-03-01,,2018-09-29,Pending,"tlens|2,t lens|71","adjustable lens|89,plastic lens|2,glass lens|2,tunable lens|1",,"voice coil motor|1,VCM |6","camera module|34,navigation|1,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN109413307A/en"")",0,,"CN2706779Y,CN1790150A,CN1847911A,CN2829243Y,CN105338227A,CN107450148A,CN207926732U,CN110365890A"
146,CN109348129A,A kind of the clarity detection method and system of cameras with fixed focus,高艳朋|陈小慈,Truly Opto-electronics Ltd,668,2019-02-15,2020-11-03,2018-11-13,Active,"tlens|27,Tlens module|15","adjustable lens|22,polymeric lens|1",polymer|6,,,"=HYPERLINK(""https://patents.google.com/patent/CN109348129A/en"")",0,"CN111220362A,CN111726527A,CN113315909A,CN113532274A","CN1912663A,CN102455568A,CN202631827U,US9235049B1,CN106534659A,US20170251925A1,CN106773458A,CN107222683A,CN107806984A"
