,from,to
0, Hon Hai Precision Industry Co Ltd, Hon Hai Precision Industry Co Ltd
1,Hon Hai Precision Industry Co Ltd, Hon Hai Precision Industry Co Ltd
2, Shinshu University NUC, Shinshu University NUC
3,▲桜▼井精技株式会社,"▲ Sakura ▼ Izumi Co., Ltd."
4,1 Ltd,1 Ltd
5,1... Limited,1... Limited
6,１．．．リミテッド,1...limit
7,1...Limited,1...limited
8,138 East LCD Advancements Ltd,138 East Lcd Advancements Ltd
9,15 Seconds of Fame Inc,15 Seconds Of Fame Inc
10,II VI Delaware Inc,2 6 Delaware Inc
11, 2011 Intellectual Property Asset Trust,2011 Intellectual Property Asset Trust
12,21 CT Inc,21 Ct Inc
13,"2C Optics, Inc.","2c Optics, Inc."
14,2R1Y,2r1y
15,3D Media Corp ,3d Media Corp
16,3D Systems Inc,3d Systems Inc
17, 3DMedia Corp,3dmedia Corp
18,3DMedia Corp,3dmedia Corp
19,3Dmedia Corporation,3dmedia Corporation
20,"3Dsystems, Inc.","3dsystems, Inc."
21,3M Co,3m C
22,3M Innovative Properties Co,3m Innovative Properties Co
23, MINU LLC,4 T Llc
24,MINU LLC,4 T Llc
25, 4D Vision GmbH ,4d Vision Gmbh
26,7TM Pharma AS ,7tm Pharma As
27,A & C Hologram LLC ,A & C Hologram Llc
28,A Wendy J Systems Co Ltd,A Wendy J Systems Co Ltd
29,AAC Technologies Pte Ltd,Aac Technologies Pte Ltd
30, Aaren Scientific Inc,Aaren Scientific Inc
31,Aaren Scientific Inc,Aaren Scientific Inc
32,アバゴ・テクノロジーズ・ジェネラル・アイピー（シンガポール）プライベート・リミテッド,Abago Technologies General Ipy (singapore) Private Limited
33,ABB Schweiz AG,Abb Switzerland Ag
34,Abbott Cardiovascular Systems Inc,Abbott Cardiovascular Systems Inc
35,Abbott Laboratories,Abbott Laboratories
36,Abbott Medical Optics Inc.,Abbott Medical Optics Inc.
37,아베드로 인코퍼레이티드,Abedo In Corporation
38,Ability Opto Electronics Technology Co Ltd,Ability Opto Electronics Technology Co Ltd
39,ABL IP Holding LLC,Abl Ip Holding Llc
40,エイブル株式会社,Able Corporation
41,Able Kk,Able Kk
42,Absolute 3d Imaging LLC,Absolute 3d Imaging Llc
43,Academy Industry Foundation of POSTECH,Academy Industry Foundation Of Postech
44,Academy of Opto Electronics of CAS,Academy Of Opto Electronics Of Cas
45,Accenture Global Solutions Ltd,Accenture Global Solutions Ltd
46,Accommo AG,Accommodate Ag
47,Taku Kaneko,Accomplishment
48,Eys 3d Co Ltd ,Ace Promised
49,宏碁股份有限公司,"Acer Co., Ltd."
50,Acer Inc,Acer Inc
51,Achillion Pharmaceuticals Inc,Achillion Pharmaceuticals Inc
52,アクト・リサーチ・コーポレーション,Act Research Corporation
53,Activ Surgical Inc,Activ Surgical Inc
54,Activcard,Activcard
55,アクティブ サージカル， インコーポレイテッド,"Active Surgical, Intercoperated"
56,Actuator Solutions GmbH,Actuator Solutions Gmbh
57,Acucela Inc.,Acucela Inc.
58,アキュートロジック株式会社,"Acute Logic Co., Ltd."
59,株式会社アドテックエンジニアリング,"Ad Tech Engineering Co., Ltd."
60,Adaptica S R L,Adaptica S R L
61,ADAPTICA Srl,Adaptica Srl
62, Adaptive Optics Associates Inc,Adaptive Optics Associates Inc
63,ADC Automotive Distance Control Systems GmbH,Adc Automotive Distance Control Systems Gmbh
64, Addition Tech Inc,Addition Tech Inc
65,Adiens Ltd,Adiens Ltd
66,アドレンズ ビーコン インコーポレイテッド,Adlains Beacon Incorporated
67,アドレンズ リミテッドＡｄｌｅｎｓ Ｌｉｍｉｔｅｄ,Adlains Limited Adlens Limited
68,Adlens Beacon Inc,Adlens Beacon Inc
69,Adlens Limited,Adlens Limited
70, Adlens Ltd,Adlens Ltd
71,Adlens Ltd,Adlens Ltd
72,Adobe Inc,Adobe Inc
73,Adolf F. Fercher,Adolf F.female
74,アドレンズ リミテッド,Adren's Limited
75,Adtec Engineeng Co Ltd,Adtec Engineeng
76,Adtec Engineering Co Ltd,Adtec Engineering Co Ltd
77, Advanced Medical Electronics Developments LP,Advanced Medical Electronics Developments Lp
78,Advanced Medical Optics,Advanced Medical Optics
79,"Advanced Medical Optics, Inc.","Advanced Medical Optics, Inc."
80,アドバンスト メディカル オプティクス， インコーポレーテッド,"Advanced Medical Optics, Incorporated"
81, Advanced Micro Devices Inc,Advanced Micro Devices Inc
82,Advanced Micro Devices Inc ,Advanced Micro Devices Inc
83,Advanced New Technologies Co Ltd,Advanced New Technologies Co Ltd
84, Advanced Optoelectronic Technology Inc,Advanced Optoelectronic Technology Inc
85,Advanced Scanning Ltd,Advanced Scanning Ltd
86,Advantest Corp,Advantest Corp
87,아드렌스 비콘 인코포레이티드,Advis Beacon Incoporited
88,Aeon Imaging LLC,Aeon Imaging Llc
89,AGA Medical Corp ,Aga Medical Corp
90,AGC Inc,Agc Inc
91,Agc Techno Glass Co Ltd,Agc Techno Glass Co Ltd
92,Ａｇｃテクノグラス株式会社,"Agc Techno Grass Co., Ltd."
