Index,patentID,Title,Inventor,Assignee,Score,Publication_Date,Grant_Date,Priority_Date,Status,kw1,kw2,kw3,kw4,kw5,URL,Iteration,Citation_Forward,Citation_Backward
0,US2021055580A1,Transparent phase change actuator,Spencer Allan Wells|Katherine Marie Smyth|Andrew John Ouderkirk,Facebook Technologies Llc,-10,2021-02-25,,2019-08-20,Pending,,"liquid lens|1,tunable lens|1","polymer|2,polymer film|1,piezoelectric actuators|1",liquid crystal|1,"depth camera|1,time of flight|1,surgery|1,HMD|4","=HYPERLINK(""https://patents.google.com/patent/US2021055580A1/en"")",0,CN113461423A,
1,WO2020107985A1,Imaging module and electronic apparatus,韦怡|陈嘉伟,Oppo,84,2020-06-04,,2018-11-26,,,adjustable lens|88,"polymer|1,piezoelectric actuator|32",voice coil motor|4,,"=HYPERLINK(""https://patents.google.com/patent/WO2020107985A1/en"")",0,"CN109327580A,CN109167909B,CN109819152A,CN111988494B,CN110310327A,CN113163077A,CN114070966A,CN114112045A,CN113452888A","US20150310243A1,CN108064350A,CN108322632A,CN207926731U,CN207926732U,CN207926733U,CN109167909A,CN109270683A,CN109327580A"
2,CN213426288U,Tlens camera module and terminal,卢江|李廷飞|赵军|谢双燕|齐书|晏政波|陈国狮|古昌根,Chongqing Ts Precision Technology Co Ltd,615,2021-06-11,2021-06-11,2020-12-10,Active,"tlens|45,Tlens module|36",adjustable lens|2,LDS|1,,camera module|14,"=HYPERLINK(""https://patents.google.com/patent/CN213426288U/en"")",0,,
5,GB2596650A,Focus stabilization of imaging system with variable focus lens,Gurevich Vladimir,Zebra Technologies Corp,250,2021-07-28,,2020-06-25,Pending,T-lens|2,"focusing lens|1,focus lens|3,deformable lens|1,shift lens|1,liquid lens|2,variable focus lens|3,adaptive lens|2",,voice coil motor|1,"autofocus|8,auto focus|16,imaging device|1","=HYPERLINK(""https://patents.google.com/patent/GB2596650A/en"")",0,,"US20140166758A1,US20180137318A1,US20190356860A1"
6,WO2022055266A1,Electronic device including camera module that takes photographs through at least part of display,전상용|김승용|이정열,Samsung Electronics Co Ltd,74,2022-03-17,,2020-09-10,,,"aspherical lens|3,liquid lens|2,tunable lens|2,variable lens|47","polymer|3,piezoelectric element|1",,"auto focus|6,camera module|47,navigation|2","=HYPERLINK(""https://patents.google.com/patent/WO2022055266A1/en"")",0,,"KR20080104822A,KR20090027330A,JP2009080282A,KR20180102883A,CN110149470A"
8,CN109348104B,"Camera module, electronic equipment and shooting method",周耀敏,Vivo Mobile Communication Co Ltd,275,2019-02-15,2021-01-08,2018-10-30,Active,T-lens|20,convex lens|5,polymer|1,liquid crystal|1,"auto focus|2,camera module|41,digital camera|2","=HYPERLINK(""https://patents.google.com/patent/CN109348104B/en"")",0,"CN110012134A,CN110661954A,CN111182193B,CN111405153A,CN112492165B","CN102436018A,JP2009294330A,CN105988180A"
10,CN109309789A,The field angle control method and terminal device of light compensating lamp,李松杰|杨尚明,Vivo Mobile Communication Co Ltd,407,2019-02-05,,2018-10-30,Pending,T-lens|66,"adjustable lens|3,tunable lens|1","polymer|12,polymer film|8,t-lens module|61",liquid crystal|1,,"=HYPERLINK(""https://patents.google.com/patent/CN109309789A/en"")",0,"CN112218415A,CN113141442A","WO2002101442A1,CN204439988U,CN108702434A,CN207831092U"
11,CN207124681U,A kind of periscopic camera module and mobile terminal,陈宇灏,Vivo Mobile Communication Co Ltd,75,2018-03-20,2018-03-20,2017-07-31,Active,,"adjustable lens|1,focus lens|36,tunable lens|1","polymer|4,piezoelectric element|8",voice coil motor|6,"camera module|34,periscope |28,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN207124681U/en"")",0,"CN108449540A,CN108535830A,CN108551546A,CN108600594A,CN108600601A,WO2019233478A1,WO2019237905A1,US11064098B2,CN113645374A",
12,CN113113836A,Optical sensor and electronic device,刘海亮|许伟才,Oppo,768,2021-07-13,,2021-04-02,Pending,"tlens|1,t lens|1,TLens|1,T Lens|1,(T lens)|1,T-lens|1","refractive lens|6,diffractive lens|8,tunable lens|1","transparent elastic member|11,optical film layer|6",VCM |1,"autofocus|1,auto focus|1,time of flight|3,depth information|5,mobile phones|2,automobiles|1,medical treatment|1,scientific research|1,navigation|2,TOF|9,(TOF)|2,AR/VR|1,PDA|1","=HYPERLINK(""https://patents.google.com/patent/CN113113836A/en"")",0,CN113542534A,"CN108363267A,CN109188711A,CN110346940A,CN210835461U,CN110361870A,CN112379528A"
17,CN213817938U,Camera assembly and electronic equipment,李天意,Shenzhen Realme Mobile Communication Co Ltd,113,2021-07-27,2021-07-27,2021-01-14,Active,tlens|1,convex lens|3,polymer|3,"voice coil motor|1,cavity|14","auto focus|1,camera module|76,telephoto|5,telephoto lens|4","=HYPERLINK(""https://patents.google.com/patent/CN213817938U/en"")",0,,
